group,function,value,sample_time_nanos,iteration_count
cir_mgf_analytical_numerical,numeric,1024,1116271.0,8
cir_mgf_analytical_numerical,numeric,1024,2168272.0,16
cir_mgf_analytical_numerical,numeric,1024,3243245.0,24
cir_mgf_analytical_numerical,numeric,1024,4330542.0,32
cir_mgf_analytical_numerical,numeric,1024,5416958.0,40
cir_mgf_analytical_numerical,numeric,1024,6464249.0,48
cir_mgf_analytical_numerical,numeric,1024,7568057.0,56
cir_mgf_analytical_numerical,numeric,1024,8698315.0,64
cir_mgf_analytical_numerical,numeric,1024,9718635.0,72
cir_mgf_analytical_numerical,numeric,1024,10818576.0,80
cir_mgf_analytical_numerical,numeric,1024,11893930.0,88
cir_mgf_analytical_numerical,numeric,1024,12968483.0,96
cir_mgf_analytical_numerical,numeric,1024,14096486.0,104
cir_mgf_analytical_numerical,numeric,1024,15151132.0,112
cir_mgf_analytical_numerical,numeric,1024,16219913.0,120
cir_mgf_analytical_numerical,numeric,1024,17311500.0,128
cir_mgf_analytical_numerical,numeric,1024,18388576.0,136
cir_mgf_analytical_numerical,numeric,1024,19463981.0,144
cir_mgf_analytical_numerical,numeric,1024,20552119.0,152
cir_mgf_analytical_numerical,numeric,1024,21661848.0,160
cir_mgf_analytical_numerical,numeric,1024,22731101.0,168
cir_mgf_analytical_numerical,numeric,1024,23842152.0,176
cir_mgf_analytical_numerical,numeric,1024,24896136.0,184
cir_mgf_analytical_numerical,numeric,1024,25925354.0,192
cir_mgf_analytical_numerical,numeric,1024,27081361.0,200
cir_mgf_analytical_numerical,numeric,1024,28144091.0,208
cir_mgf_analytical_numerical,numeric,1024,29301739.0,216
cir_mgf_analytical_numerical,numeric,1024,30382103.0,224
cir_mgf_analytical_numerical,numeric,1024,31379061.0,232
cir_mgf_analytical_numerical,numeric,1024,32493518.0,240
cir_mgf_analytical_numerical,numeric,1024,33556810.0,248
cir_mgf_analytical_numerical,numeric,1024,34611166.0,256
cir_mgf_analytical_numerical,numeric,1024,35723278.0,264
cir_mgf_analytical_numerical,numeric,1024,36784105.0,272
cir_mgf_analytical_numerical,numeric,1024,37860573.0,280
cir_mgf_analytical_numerical,numeric,1024,39001840.0,288
cir_mgf_analytical_numerical,numeric,1024,40057167.0,296
cir_mgf_analytical_numerical,numeric,1024,41102305.0,304
cir_mgf_analytical_numerical,numeric,1024,42236109.0,312
cir_mgf_analytical_numerical,numeric,1024,43277570.0,320
cir_mgf_analytical_numerical,numeric,1024,44339799.0,328
cir_mgf_analytical_numerical,numeric,1024,45453676.0,336
cir_mgf_analytical_numerical,numeric,1024,46562794.0,344
cir_mgf_analytical_numerical,numeric,1024,47642205.0,352
cir_mgf_analytical_numerical,numeric,1024,48699136.0,360
cir_mgf_analytical_numerical,numeric,1024,49759462.0,368
cir_mgf_analytical_numerical,numeric,1024,50850656.0,376
cir_mgf_analytical_numerical,numeric,1024,52131064.0,384
cir_mgf_analytical_numerical,numeric,1024,53032052.0,392
cir_mgf_analytical_numerical,numeric,1024,54141300.0,400
cir_mgf_analytical_numerical,numeric,1024,55826748.0,408
cir_mgf_analytical_numerical,numeric,1024,56275218.0,416
cir_mgf_analytical_numerical,numeric,1024,57378193.0,424
cir_mgf_analytical_numerical,numeric,1024,58445213.0,432
cir_mgf_analytical_numerical,numeric,1024,59499557.0,440
cir_mgf_analytical_numerical,numeric,1024,60592574.0,448
cir_mgf_analytical_numerical,numeric,1024,61653712.0,456
cir_mgf_analytical_numerical,numeric,1024,62783620.0,464
cir_mgf_analytical_numerical,numeric,1024,63842763.0,472
cir_mgf_analytical_numerical,numeric,1024,64912757.0,480
cir_mgf_analytical_numerical,numeric,1024,66047998.0,488
cir_mgf_analytical_numerical,numeric,1024,67095950.0,496
cir_mgf_analytical_numerical,numeric,1024,68172728.0,504
cir_mgf_analytical_numerical,numeric,1024,69228063.0,512
cir_mgf_analytical_numerical,numeric,1024,70443339.0,520
cir_mgf_analytical_numerical,numeric,1024,71516189.0,528
cir_mgf_analytical_numerical,numeric,1024,72599267.0,536
cir_mgf_analytical_numerical,numeric,1024,73632783.0,544
cir_mgf_analytical_numerical,numeric,1024,74653475.0,552
cir_mgf_analytical_numerical,numeric,1024,75724920.0,560
cir_mgf_analytical_numerical,numeric,1024,76848725.0,568
cir_mgf_analytical_numerical,numeric,1024,80508843.0,576
cir_mgf_analytical_numerical,numeric,1024,79058183.0,584
cir_mgf_analytical_numerical,numeric,1024,80116476.0,592
cir_mgf_analytical_numerical,numeric,1024,81442830.0,600
cir_mgf_analytical_numerical,numeric,1024,82344889.0,608
cir_mgf_analytical_numerical,numeric,1024,83368687.0,616
cir_mgf_analytical_numerical,numeric,1024,84411699.0,624
cir_mgf_analytical_numerical,numeric,1024,86106774.0,632
cir_mgf_analytical_numerical,numeric,1024,86661483.0,640
cir_mgf_analytical_numerical,numeric,1024,87703274.0,648
cir_mgf_analytical_numerical,numeric,1024,88748803.0,656
cir_mgf_analytical_numerical,numeric,1024,89854634.0,664
cir_mgf_analytical_numerical,numeric,1024,90916742.0,672
