group,function,value,sample_time_nanos,iteration_count
cir_mgf_analytical_numerical,numeric,128,1029907.0,58
cir_mgf_analytical_numerical,numeric,128,1887112.0,116
cir_mgf_analytical_numerical,numeric,128,2884118.0,174
cir_mgf_analytical_numerical,numeric,128,3914426.0,232
cir_mgf_analytical_numerical,numeric,128,4885531.0,290
cir_mgf_analytical_numerical,numeric,128,5897437.0,348
cir_mgf_analytical_numerical,numeric,128,6680043.0,406
cir_mgf_analytical_numerical,numeric,128,8139552.0,464
cir_mgf_analytical_numerical,numeric,128,8485055.0,522
cir_mgf_analytical_numerical,numeric,128,9444560.0,580
cir_mgf_analytical_numerical,numeric,128,10428967.0,638
cir_mgf_analytical_numerical,numeric,128,11584574.0,696
cir_mgf_analytical_numerical,numeric,128,12443479.0,754
cir_mgf_analytical_numerical,numeric,128,13493487.0,812
cir_mgf_analytical_numerical,numeric,128,15879601.0,870
cir_mgf_analytical_numerical,numeric,128,16866408.0,928
cir_mgf_analytical_numerical,numeric,128,16095503.0,986
cir_mgf_analytical_numerical,numeric,128,17005909.0,1044
cir_mgf_analytical_numerical,numeric,128,18377617.0,1102
cir_mgf_analytical_numerical,numeric,128,19371324.0,1160
cir_mgf_analytical_numerical,numeric,128,28138180.0,1218
cir_mgf_analytical_numerical,numeric,128,21541438.0,1276
cir_mgf_analytical_numerical,numeric,128,23676752.0,1334
cir_mgf_analytical_numerical,numeric,128,23933153.0,1392
cir_mgf_analytical_numerical,numeric,128,25737564.0,1450
cir_mgf_analytical_numerical,numeric,128,29316088.0,1508
cir_mgf_analytical_numerical,numeric,128,28490082.0,1566
cir_mgf_analytical_numerical,numeric,128,29057586.0,1624
cir_mgf_analytical_numerical,numeric,128,27846878.0,1682
cir_mgf_analytical_numerical,numeric,128,28649183.0,1740
cir_mgf_analytical_numerical,numeric,128,29615290.0,1798
cir_mgf_analytical_numerical,numeric,128,30849197.0,1856
cir_mgf_analytical_numerical,numeric,128,31527802.0,1914
cir_mgf_analytical_numerical,numeric,128,32390907.0,1972
cir_mgf_analytical_numerical,numeric,128,34024918.0,2030
cir_mgf_analytical_numerical,numeric,128,34994624.0,2088
cir_mgf_analytical_numerical,numeric,128,34993023.0,2146
cir_mgf_analytical_numerical,numeric,128,38999150.0,2204
cir_mgf_analytical_numerical,numeric,128,37226938.0,2262
cir_mgf_analytical_numerical,numeric,128,38480146.0,2320
cir_mgf_analytical_numerical,numeric,128,40936062.0,2378
cir_mgf_analytical_numerical,numeric,128,43129076.0,2436
cir_mgf_analytical_numerical,numeric,128,43100676.0,2494
cir_mgf_analytical_numerical,numeric,128,45176289.0,2552
cir_mgf_analytical_numerical,numeric,128,48137708.0,2610
cir_mgf_analytical_numerical,numeric,128,45839593.0,2668
cir_mgf_analytical_numerical,numeric,128,47531004.0,2726
cir_mgf_analytical_numerical,numeric,128,49463616.0,2784
cir_mgf_analytical_numerical,numeric,128,48943013.0,2842
cir_mgf_analytical_numerical,numeric,128,49574017.0,2900
cir_mgf_analytical_numerical,numeric,128,51791932.0,2958
cir_mgf_analytical_numerical,numeric,128,53971345.0,3016
cir_mgf_analytical_numerical,numeric,128,53898845.0,3074
cir_mgf_analytical_numerical,numeric,128,52637936.0,3132
cir_mgf_analytical_numerical,numeric,128,55169753.0,3190
cir_mgf_analytical_numerical,numeric,128,55111953.0,3248
cir_mgf_analytical_numerical,numeric,128,55663856.0,3306
cir_mgf_analytical_numerical,numeric,128,59012577.0,3364
cir_mgf_analytical_numerical,numeric,128,68544539.0,3422
cir_mgf_analytical_numerical,numeric,128,60124784.0,3480
cir_mgf_analytical_numerical,numeric,128,59717882.0,3538
